team,player,coordsList
France,R. Varane,"[(33, 69), (29, 73), (12, 58), (21, 66), (34, 73), (41, 75), (10, 78), (15, 79), (28, 78), (41, 82), (15, 68), (18, 95), (15, 71), (15, 65), (29, 66), (44, 44), (9, 89), (53, 69), (53, 63), (48, 72), (42, 64), (45, 62), (53, 55), (35, 70), (36, 78), (20, 65), (33, 69), (30, 60), (33, 70), (4, 52), (63, 81), (35, 71), (41, 77), (57, 54), (64, 73), (45, 86), (40, 92), (31, 77), (31, 85), (5, 80), (7, 93), (50, 70), (30, 82), (43, 85), (42, 93), (37, 86), (9, 51), (31, 67), (10, 66), (13, 76), (9, 61), (11, 39)]"
France,A. Griezmann,"[(50, 50), (23, 49), (77, 56), (57, 63), (89, 48), (39, 90), (32, 17), (4, 57), (57, 68), (92, 86), (98, 63), (58, 42), (33, 16), (71, 45), (88, 28), (94, 28), (12, 58), (11, 72), (27, 46), (56, 7), (87, 92), (23, 33), (70, 80), (77, 94), (93, 96), (69, 96), (72, 47), (83, 65), (81, 62), (95, 55), (95, 60), (29, 79), (28, 78), (46, 43), (59, 44), (69, 48), (66, 53), (65, 21), (38, 19), (35, 7), (44, 94), (68, 98), (74, 87), (33, 59), (54, 34)]"
France,P. Pogba,"[(31, 71), (38, 72), (38, 94), (45, 47), (60, 40), (60, 40), (35, 46), (47, 92), (18, 27), (25, 75), (21, 23), (25, 26), (83, 42), (7, 37), (31, 70), (36, 60), (37, 78), (57, 77), (42, 76), (47, 46), (15, 52), (47, 46), (70, 54), (30, 52), (33, 60), (33, 64), (48, 43), (26, 86), (58, 10), (55, 20), (65, 66), (63, 73), (65, 92), (7, 52), (56, 71), (58, 59), (61, 74), (38, 55), (24, 43), (68, 81), (68, 92), (68, 95), (84, 91), (4, 44), (48, 88), (71, 66), (92, 53), (70, 99), (33, 99), (41, 75), (56, 94), (68, 90), (42, 61), (68, 48), (38, 64), (74, 76), (75, 73), (45, 86), (67, 62), (67, 63), (65, 53), (61, 43), (41, 50), (55, 58), (81, 99), (97, 92), (48, 97), (35, 81), (31, 57), (31, 68), (35, 70), (35, 100), (41, 96), (48, 87), (33, 91), (59, 98), (60, 98), (49, 57), (47, 55), (59, 37)]"
France,H. Lloris,"[(8, 47), (9, 26), (14, 30), (9, 48), (8, 26), (12, 44), (8, 28), (12, 34), (10, 44), (8, 60), (11, 55), (12, 46), (10, 42), (11, 46), (10, 45), (7, 43), (13, 48), (9, 50), (14, 77), (13, 40), (10, 56), (8, 13), (11, 13), (9, 52)]"
France,S. Umtiti,"[(18, 28), (30, 8), (22, 18), (36, 73), (35, 77), (37, 82), (65, 80), (23, 1), (10, 7), (7, 10), (23, 22), (27, 11), (5, 34), (13, 28), (9, 29), (22, 6), (54, 6), (28, 20), (30, 12), (15, 35), (35, 12), (31, 16), (30, 32), (32, 23), (44, 20), (42, 4), (19, 34), (52, 35), (46, 13), (30, 28), (27, 23), (15, 32), (27, 35), (46, 13), (69, 48), (28, 0), (40, 22), (18, 19), (45, 45), (65, 45), (34, 24), (32, 19), (55, 47), (9, 14), (10, 15), (34, 29), (61, 24), (3, 24), (11, 16), (4, 32), (48, 25), (38, 23), (51, 26), (28, 30), (31, 24), (14, 30), (44, 35), (28, 33), (27, 25), (20, 54), (3, 41), (61, 30)]"
France,B. Matuidi,"[(31, 5), (31, 7), (12, 47), (28, 21), (24, 2), (27, 1), (27, 58), (16, 32), (59, 4), (30, 7), (28, 3), (52, 41), (35, 8), (23, 18), (53, 17), (37, 27), (92, 9), (95, 10), (96, 7), (52, 0), (42, 27), (41, 26), (31, 6), (55, 3), (60, 1), (64, 7), (62, 41), (44, 37), (12, 32), (77, 12), (48, 44), (47, 34), (60, 5), (29, 23), (30, 18), (63, 24), (67, 13), (65, 6), (91, 48), (64, 35), (43, 62), (54, 82), (61, 97), (69, 51), (66, 56), (39, 44), (38, 43), (54, 33), (56, 29), (37, 8), (45, 35), (30, 61)]"
France,F. Thauvin,"[(22, 99), (38, 93)]"
France,O. Giroud,"[(70, 74), (69, 76), (14, 41), (68, 64), (49, 72), (65, 29), (67, 31), (58, 36), (63, 46), (88, 41), (49, 3), (41, 1), (43, 1), (61, 38), (61, 18), (90, 21), (93, 22), (94, 21), (55, 14), (96, 53), (79, 60), (71, 31), (73, 53), (69, 41), (75, 58), (38, 84), (32, 46), (91, 34), (64, 70), (60, 69), (6, 59), (6, 58), (5, 58), (41, 88), (91, 47), (62, 94), (71, 30), (67, 32), (64, 30), (27, 61), (45, 88), (44, 46), (65, 65), (48, 89), (60, 27), (58, 22), (68, 42), (99, 16)]"
France,N. Fekir,"[(44, 54), (42, 55), (37, 59), (68, 97), (12, 75), (11, 96), (67, 34), (68, 40), (68, 40), (53, 91), (52, 56), (53, 53)]"
France,N. Kanté,"[(45, 40), (47, 52), (20, 36), (23, 48), (28, 39), (32, 38), (77, 36), (24, 1), (29, 1), (20, 2), (28, 4), (26, 50), (66, 1), (38, 19), (29, 51), (59, 49), (23, 32), (51, 69), (56, 61), (53, 50), (53, 50), (27, 39), (29, 32), (25, 33), (29, 30), (30, 55), (32, 44), (36, 43), (18, 54), (51, 14), (75, 3), (33, 16), (53, 52), (55, 55), (19, 3), (35, 45), (52, 62), (54, 56), (42, 25), (53, 34), (60, 39), (35, 24), (36, 54), (67, 92), (31, 36), (67, 46), (65, 15), (46, 27), (46, 17), (79, 5), (27, 67), (38, 90), (39, 15), (37, 28), (43, 55), (53, 47), (46, 63), (16, 92), (20, 35), (28, 39), (57, 47), (21, 79), (27, 81), (68, 83), (32, 30), (31, 44), (55, 27), (72, 14), (68, 14), (64, 5), (26, 24), (22, 4), (27, 69), (35, 48), (34, 44), (30, 57), (28, 48), (28, 37), (8, 71), (22, 56), (32, 52), (9, 5), (12, 68)]"
France,C. Tolisso,"[(78, 13), (75, 6), (14, 15), (19, 7), (29, 5), (29, 9), (30, 9), (16, 33), (32, 49), (33, 45), (54, 23), (32, 39), (55, 74), (61, 57), (58, 58), (15, 14), (58, 23), (66, 35), (38, 47)]"
France,L. Hernández,"[(15, 37), (62, 8), (74, 23), (27, 5), (26, 6), (32, 1), (9, 7), (39, 0), (40, 6), (59, 3), (40, 1), (56, 1), (29, 2), (68, 2), (35, 1), (29, 19), (89, 4), (83, 10), (79, 7), (79, 0), (29, 26), (36, 31), (95, 18), (90, 5), (15, 11), (9, 27), (59, 17), (52, 23), (28, 9), (39, 8), (63, 17), (14, 17), (17, 4), (9, 31), (11, 15), (35, 6), (29, 5), (6, 6), (9, 6), (5, 39), (36, 21), (11, 20), (5, 39), (21, 10)]"
France,B. Pavard,"[(23, 83), (36, 96), (26, 68), (1, 87), (22, 94), (15, 77), (65, 93), (88, 87), (29, 63), (35, 71), (30, 77), (45, 82), (7, 51), (69, 90), (67, 91), (72, 96), (92, 76), (8, 52), (63, 78), (62, 85), (65, 88), (31, 79), (38, 72), (36, 100), (91, 100), (92, 100), (6, 95), (7, 85), (80, 100), (50, 95), (57, 98), (35, 95), (82, 75), (10, 92), (60, 99), (71, 99), (59, 97), (13, 61), (16, 94), (2, 94), (3, 93), (9, 58), (37, 99), (46, 99), (71, 94), (73, 89), (19, 91), (10, 87), (27, 90), (17, 85), (12, 93), (29, 91), (8, 95), (24, 93)]"
France,K. Mbappé,"[(34, 87), (53, 84), (44, 80), (51, 63), (56, 60), (70, 52), (82, 93), (68, 60), (74, 55), (76, 51), (29, 48), (84, 66), (23, 89), (27, 48), (83, 38), (38, 3), (50, 64), (50, 66), (60, 47), (71, 68), (56, 60), (91, 63), (54, 93), (69, 62), (72, 87), (78, 74), (66, 75), (57, 96), (61, 95), (66, 81), (64, 98), (92, 76), (74, 96), (82, 6), (66, 94), (50, 98), (31, 100), (71, 100), (89, 41), (94, 34), (34, 78), (34, 76), (35, 75), (88, 65), (29, 92), (29, 97), (33, 64), (49, 96), (52, 96), (82, 38), (49, 59), (67, 42), (34, 86), (35, 80), (46, 90)]"
Argentina,É. Banega,"[(62, 28), (40, 60), (70, 95), (31, 14), (53, 8), (42, 43), (63, 18), (24, 37), (29, 43), (73, 70), (76, 14), (33, 43), (56, 20), (41, 29), (66, 37), (59, 33), (72, 15), (73, 24), (74, 37), (36, 37), (42, 41), (42, 69), (36, 68), (58, 40), (64, 40), (53, 54), (51, 55), (71, 37), (70, 48), (33, 40), (55, 31), (78, 41), (57, 47), (37, 47), (46, 96), (45, 97), (50, 90), (78, 30), (47, 33), (41, 37), (69, 21), (58, 19), (47, 18), (16, 9), (42, 34), (95, 13), (33, 6), (36, 25), (58, 5), (56, 10), (54, 37), (54, 37), (59, 3), (44, 5), (45, 44), (68, 55), (34, 74), (68, 88), (64, 73), (72, 78), (67, 4), (68, 54), (52, 17), (34, 49), (39, 57), (71, 25), (96, 10), (59, 5), (59, 12), (19, 1), (26, 5), (29, 48), (30, 62), (38, 48), (65, 56), (58, 28), (60, 27), (44, 47), (65, 34), (64, 35), (55, 51), (68, 43), (64, 38), (54, 44), (83, 93), (32, 60), (34, 65), (48, 44), (2, 85)]"
Argentina,Á. di María,"[(90, 22), (93, 20), (56, 0), (65, 23), (28, 28), (87, 9), (72, 29), (82, 5), (73, 0), (55, 30), (75, 25), (61, 32), (83, 22), (72, 54), (40, 26), (69, 36), (32, 8), (43, 4), (72, 1), (94, 5), (36, 2), (33, 4), (17, 35), (84, 8), (94, 8), (93, 7), (57, 7), (71, 8), (98, 6), (79, 21), (66, 4), (59, 13), (71, 28), (79, 3), (81, 9), (90, 14), (90, 13), (94, 16), (73, 10), (93, 90), (93, 100), (91, 95), (89, 95), (89, 80), (94, 68), (79, 90), (76, 81), (68, 66), (93, 39)]"
Argentina,J. Mascherano,"[(44, 40), (32, 38), (16, 12), (34, 71), (24, 49), (26, 53), (26, 69), (66, 95), (32, 55), (67, 93), (42, 32), (54, 66), (68, 83), (65, 83), (56, 35), (68, 45), (32, 54), (30, 86), (37, 68), (42, 66), (69, 74), (43, 32), (31, 39), (56, 48), (70, 80), (66, 76), (68, 79), (52, 37), (54, 85), (67, 36), (69, 39), (33, 60), (48, 57), (65, 80), (35, 49), (57, 53), (35, 40), (32, 56), (46, 44), (45, 46), (35, 42), (29, 38), (30, 38), (54, 31), (69, 66), (32, 19), (31, 48), (12, 33), (32, 69), (31, 47), (37, 47), (56, 19), (54, 51), (33, 51), (48, 69), (65, 70), (58, 60), (63, 56), (62, 16), (66, 34), (33, 58), (36, 62), (30, 41), (29, 6), (29, 15), (30, 35), (54, 66), (70, 91), (78, 96), (83, 96), (38, 64), (47, 58), (73, 39), (36, 59), (56, 45), (36, 51), (64, 43), (30, 41), (43, 37), (61, 5), (47, 74), (33, 66), (30, 57), (32, 60), (23, 20), (33, 35)]"
Argentina,L. Messi,"[(58, 62), (55, 60), (70, 92), (69, 95), (23, 64), (23, 53), (73, 98), (71, 99), (76, 98), (79, 98), (76, 97), (77, 81), (50, 51), (71, 95), (66, 99), (74, 96), (75, 65), (66, 96), (41, 96), (68, 96), (61, 76), (81, 100), (41, 51), (37, 58), (62, 92), (74, 85), (67, 40), (58, 73), (65, 51), (88, 42), (67, 89), (67, 71), (70, 85), (81, 97), (58, 36), (69, 84), (65, 76), (59, 60), (88, 68), (86, 62), (76, 70), (63, 71), (64, 48), (63, 40), (66, 24), (71, 21), (72, 23), (74, 26), (70, 65), (55, 46), (61, 56), (70, 51), (31, 54), (45, 64), (73, 31), (77, 40), (76, 59), (76, 64), (65, 52), (65, 50), (70, 41), (78, 44), (80, 46), (90, 57), (67, 43), (88, 32), (88, 25), (60, 70), (71, 58)]"
Argentina,F. Fazio,"[(29, 63), (30, 55), (30, 55), (40, 63), (93, 47), (29, 69), (29, 68), (13, 52), (31, 59), (28, 56), (29, 53), (27, 69), (29, 57), (70, 61), (94, 41), (30, 54), (36, 58), (9, 53), (26, 53), (28, 21), (29, 70), (28, 68), (69, 59), (54, 90), (62, 63), (20, 44), (31, 53), (27, 27), (35, 35), (39, 43), (52, 11), (55, 23), (53, 49), (65, 63), (40, 73), (27, 59)]"
Argentina,S. Agüero,"[(84, 6), (93, 0), (42, 17), (88, 30), (66, 23), (67, 24), (83, 15), (97, 31), (94, 32), (96, 26), (66, 37), (87, 58), (91, 85), (41, 2), (92, 40), (78, 28)]"
Argentina,N. Otamendi,"[(26, 74), (30, 81), (30, 75), (31, 77), (41, 71), (30, 58), (41, 80), (33, 88), (28, 73), (34, 69), (30, 72), (35, 67), (33, 84), (35, 61), (42, 64), (40, 66), (41, 69), (54, 52), (67, 80), (15, 78), (36, 65), (35, 82), (37, 77), (31, 71), (39, 67), (63, 82), (62, 97), (28, 66), (46, 71), (48, 90), (38, 45), (12, 51), (44, 86), (47, 86), (48, 52), (55, 75), (34, 83), (42, 58), (39, 62), (32, 64), (43, 64), (8, 91), (5, 90), (28, 76), (7, 78), (45, 76), (60, 79), (46, 66), (30, 8), (45, 86), (72, 75), (77, 76), (45, 58), (61, 78), (92, 48), (21, 40), (32, 74), (42, 68), (48, 58), (69, 90), (32, 69), (37, 33), (43, 60), (42, 34), (53, 37), (65, 26), (8, 47), (29, 28), (27, 33), (36, 25), (39, 21), (45, 14), (7, 19), (22, 32), (41, 38), (42, 37), (7, 46), (41, 34), (61, 32), (65, 31), (36, 30), (34, 47), (33, 48), (9, 15), (41, 25), (67, 11), (21, 46), (24, 33), (55, 29), (34, 28), (64, 30), (26, 3), (46, 44), (46, 46), (32, 38), (46, 46), (53, 45), (44, 63)]"
Argentina,G. Mercado,"[(28, 97), (42, 97), (34, 98), (28, 97), (45, 98), (44, 95), (55, 98), (30, 67), (30, 97), (39, 98), (33, 92), (38, 95), (46, 95), (71, 100), (68, 99), (68, 99), (74, 97), (45, 96), (45, 96), (70, 98), (90, 93), (86, 100), (86, 98), (33, 83), (44, 96), (76, 98), (62, 85), (35, 97), (93, 63), (35, 94), (34, 91), (62, 97), (66, 97), (59, 98), (78, 94), (92, 66), (35, 94), (63, 98), (63, 97), (59, 99), (35, 95), (57, 97), (27, 97), (68, 98), (55, 96), (62, 96), (48, 97), (45, 91), (69, 97), (79, 98), (26, 88), (39, 93), (62, 96), (71, 98), (30, 82), (53, 84), (65, 94), (69, 94), (70, 95), (93, 55), (22, 76), (21, 93), (44, 86), (29, 65), (32, 67), (33, 87), (33, 91), (68, 93), (91, 86), (89, 90), (69, 93), (73, 90), (64, 61), (31, 67), (29, 58), (62, 81), (65, 93), (68, 89), (28, 70), (40, 70), (32, 68), (36, 77), (45, 85), (74, 93), (70, 76), (33, 68), (28, 80), (83, 88), (56, 46), (68, 55), (39, 71), (36, 74), (34, 71), (62, 69), (91, 100), (94, 94), (65, 67), (85, 86), (87, 84), (42, 70), (41, 63), (44, 64)]"
Argentina,E. Pérez,"[(40, 94), (62, 91), (46, 48), (34, 72), (31, 73), (46, 98), (53, 99), (57, 98), (78, 97), (89, 100), (40, 87), (84, 96), (77, 98), (42, 89), (67, 94), (74, 98), (57, 96), (73, 89), (72, 95), (68, 97), (65, 54), (72, 97), (79, 77), (79, 76), (87, 72), (70, 85), (62, 94), (67, 84), (66, 97), (46, 76), (45, 82), (47, 94), (56, 89), (59, 70), (76, 93), (53, 84), (64, 85), (23, 88), (54, 73), (21, 95), (23, 93), (71, 77), (70, 68), (41, 69), (36, 85), (39, 72), (59, 25), (59, 19), (11, 59), (56, 63), (63, 68)]"
Argentina,N. Tagliafico,"[(30, 26), (47, 16), (44, 0), (39, 9), (71, 60), (30, 36), (24, 22), (18, 7), (9, 0), (16, 4), (71, 60), (33, 30), (71, 6), (63, 6), (99, 13), (78, 5), (17, 62), (18, 61), (44, 16), (61, 5), (61, 26), (76, 30), (55, 10), (9, 37), (32, 40), (88, 0), (85, 5), (43, 31), (69, 36), (30, 20), (23, 6), (12, 8), (62, 3), (30, 1), (11, 33), (73, 7), (73, 4), (58, 2), (65, 25), (34, 6), (3, 8), (70, 5), (30, 0), (70, 22), (74, 0), (74, 20), (95, 61), (57, 0), (30, 0)]"
